ICT safety
Backbox (penetration testing tool)
Kali Linux
John The Ripper (penetration testing tool)
BlackArch
Wireshark
data storage
Parrot Security OS
Samurai Web Testing Framework
cloud technologies
hardware architectures
WhiteHat Sentinel
Nexpose
THC Hydra
perform data mining
analyse network configuration and performance
collect cyber defence data
building systems monitoring technology
operational tactics for emergency responses
risk management
incidents and accidents recording
create incident reports
communicate with stakeholders
handle cybersecurity incidents
engage with stakeholders
protect ICT devices
business intelligence
defence standard procedures
safety engineering
project management
leadership principles
copyright legislation
ICT process quality models
manage ICT change request process
perform risk analysis
manage changes in ICT system
troubleshoot
provide user documentation
optimise choice of ICT solution
perform scientific research
define quality standards
ensure information security
implement ICT risk management
provide information
track key performance indicators
consult with business clients
manage digital identity
implement spam protection
manage a team
set up a multi-track recording
mix multi-track recordings
monitor mixing in a live situation
coordinate audio system programmes
program sound cues
perform soundchecks
operate an audio mixing console
mix sound in a live situation
record multi-track sound
use audio reproduction software
edit recorded sound
record music
set up sound reinforcement system
operate sound live
set up basic recording
support audio system installation
prevent undesired changes to sound design
prepare sound equipment on stage
technically design a sound system
draw up instrument setup
read musical score
maintain sound equipment
tune up wireless audio systems
product usage risks analysis
conduct impact evaluation of ICT processes on business
manage system security
define security policies
manage disaster recovery plans
maintain plan for continuity of operations
report analysis results
implement ICT recovery system
network management system tools
internal risk management policy
software anomalies
mobile operating systems
BlackBerry
unstructured data
iOS
Android (mobile operating systems)
ICT power consumption
manage staff
develop strategy to solve problems
digital systems
engineering control theory
task algorithmisation
real-time computing
signal processing
system design
develop creative ideas
create flowchart diagram
interpret electronic design specifications
analyse software specifications
battery management systems
state estimation
ICT network simulation
field-programmable gate arrays
collect customer feedback on applications
verify formal ICT specifications
software metrics
perform software unit testing
application usability
execute integration testing
characteristics of products
organisational structure
product comprehension
characteristics of services
keep up to date on product knowledge
create solutions to problems
use ICT ticketing system
use ICT hardware
forecast workload
provide ICT support
analyse staff capacity
supervise data entry
ICT quality policy
ICT help platforms
call quality assurance management
ICT market
coach employees
provide customer follow-up services
prioritise requests
information structure
data warehouse
database
web programming
business process modelling
database management systems
systems theory
migrate existing data
use markup languages
develop automated migration methods
use databases
write database documentation
design database scheme
operate relational database management system
identify software for warehouse management
create database diagrams
create data sets
analyse business requirements
manage standards for data exchange
apply ICT systems theory
DB2
Microsoft Access
OpenEdge Database
ObjectStore
MySQL
TripleStore
data visualisation software
IBM Informix
PostgreSQL
Filemaker (database management systems)
SQL Server
CA Datacom/DB
Teradata Database
Oracle Relational Database
product data management
MarkLogic
data science
define database physical structure
perform data analysis
use access control software
use query languages
design database in the cloud
develop reporting software
design database backup specifications
apply technical communication skills
respond to customers' inquiries
perform resource planning
design user interface
computer simulation
machine learning
image recognition
data engineering
scientific computing
digital twin technology
statistics
integrated development environment software
digital image processing
principles of artificial intelligence
normalise data
conduct literature research
interpret current data
establish data processes
execute analytical mathematical calculations
perform dimensionality reduction
develop computer vision system
handle data samples
perform data cleansing
implement data quality processes
use software libraries
manage data collection systems
deliver visual presentation of data
develop data processing applications
mathematical modelling
image formation
computer graphics
cognitive computing
quantum computing
deep learning
conduct scholarly research
define data quality criteria
conduct quantitative research
conduct qualitative research
keep up with the latest information systems solutions
use software design patterns
develop ICT device driver
computer science
data analytics
manage research data
use data processing techniques
manage quantitative data
manage data
process data
implement data warehousing techniques
SAS Data Management
analyse pipeline database information
sustainable technologies
green building standards
resource-efficient technologies
sustainability consulting
ICT environmental policies
ensure compliance with environmental legislation
apply business acumen
promote environmental awareness
manage environmental impact of operations
report on environmental issues
emergent technologies
ICT sales methodologies
corporate sustainability
identify processes for re-engineering
advise on environmental remediation
audio technology
audiovisual products
types of audiovisual formats
audio editing software
audio mastering
manage sound quality
assess sound quality
operate audio-signal processors
convert different audiovisual formats
audio post-production
musical instruments
musical genres
musical theory
audiovisual equipment
blockchain components
decentralized application frameworks
blockchain architecture
digital identity management
distributed ledger technology
blockchain openness
decentralised identifiers
smart contract programming languages
blockchain applications
blockchain application areas
smart contract
blockchain-based services regulation
game theory
blockchain terminology
blockchain platforms
blockchain applications security principles
blockchain
blockchain history
blockchain design patterns
distributed ledger technologies vulnerabilities
blockchain-based business models
distributed ledger technologies consensus protocols
blockchain consensus mechanisms
blockchain mining principles
develop blockchain innovative architectures
analyse decentralised applications
identify blockchain innovation opportunities
explain blockchain implications
recognise blockchain application areas
evaluate blockchain architectures
implement smart contracts
design process for blockchain-based systems
outline blockchain-based identity management
interpret technical requirements
explain distributed ledger technologies principles
recognise blockchain risks
Angular
cryptocurrency
Vyper
Solidity
implement front-end website design
adapt to changes in technological development plans
data mining
quantitative analysis
statistical modeling techniques
information extraction
scientific literature
information categorisation
online analytical processing
data ethics
empirical analysis
draft scientific or academic papers and technical documentation
interact professionally in research and professional environments
disseminate results to the scientific community
operate open source software
speak different languages
evaluate research activities
demonstrate disciplinary expertise
increase the impact of science on policy and society
manage findable accessible interoperable and reusable data
build recommender systems
manage intellectual property rights
apply for research funding
collect ICT data
apply research ethics and scientific integrity principles in research activities
promote open innovation in research
publish academic research
promote the transfer of knowledge
think abstractly
mentor individuals
write scientific publications
develop professional network with researchers and scientists
integrate gender dimension in research
manage open publications
synthesise information
conduct research across disciplines
promote the participation of citizens in scientific and research activities
communicate with a non-scientific audience
marketing analytics
social network analysis
research design
digital curation
business analytics
multidisciplinary research
healthcare analytics
data quality assessment
Hadoop
computational biology
manage ICT data classification
use spreadsheets software
integrate ICT data
teach in academic or vocational contexts
apply blended learning
make data-driven decisions
assessment of risks and threats
data protection
ethics
forecast organisational risks
monitor developments in field of expertise
comply with legal regulations
establish an Information Security Management System
ensure information privacy
monitor technology trends
ensure cross-department cooperation
ensure adherence to organisational ICT standards
utilise decision support system
advice on security risk management
implement corporate governance
World Wide Web Consortium standards
control objectives for information and related technology
coordinate technological activities
identify legal requirements
apply operations for an ITIL-based environment
business strategy concepts
ICT architectural frameworks
align software with system architectures
review development process of an organisation
design enterprise architecture
apply conflict management
apply systemic design thinking
apply information security policies
KDevelop
screen reader
Xcode
Eclipse (integrated development environment software)
augmented reality
mobile device software frameworks
Joomla
identify customer requirements
use concurrent programming
use logic programming
use object-oriented programming
use automatic programming
use functional programming
plan migration to cloud
design cloud architecture
design cloud networks
deploy cloud resource
collaborate with engineers
do cloud refactoring
develop with cloud services
coordinate engineering teams
automate cloud tasks
design for organisational complexity
digital game genres
principles of animation
human-computer interaction
software interaction design
compose digital game story
create concept of digital game
create game testing software
demonstrate functionality of video games
web services
design interaction model
apply risk management processes
algorithms
artificial neural networks
creatively use digital technologies
design process
analyse big data
develop statistical software
operational research
computer vision
build predictive models
manage business knowledge
utilise machine learning
design application interfaces
manage ICT semantic integration
film music techniques
follow work schedule
consult with production director
familiarise with personal directing styles
structure soundtrack
finish project within budget
synchronise sound with images
analyse a script
search databases
follow directions of the artistic director
coordinate music with scenes
attend music recording sessions
film production process
musical notation
file-based workflow
transpose music
engage composers
purchase music
rewrite musical scores
organise compositions
synchronise with mouth movements
archive documentation related to work
collaborate with music librarians
draft music cue breakdown
transcribe ideas into musical notation
work with composers
project configuration management
administer ICT system
manage software releases
Octopus Deploy
Chef (tools for software configuration management)
Codenvy
domain name service
data extraction
transformation and loading tools
use interface description language
balance database resources
Informatica PowerCenter
IBM InfoSphere DataStage
Oracle Warehouse Builder
Oracle Data Integrator
Pentaho Data Integration
SQL Server Integration Services
IBM InfoSphere Information Server
QlikView Expressor
SAP Data Services
distributed directory information services
ICT network cable limitations
ICT networking hardware
define firewall rules
use repair manuals
operate private branch exchange
use precision tools
repair ICT devices
maintain ICT server
manage email hosting service
maintain ICT system
systems thinking
configure ICT system
ICT capacity planning strategies
crowdsourcing strategy
outsourcing strategy
statistical analysis system software
insourcing strategy
perform business analysis
develop financial statistics reports
improve business processes
plan ICT capacity
carry out statistical forecasts
labour legislation
consultation methods
ICT software specifications
multimedia systems
teamwork principles
guarantee customer satisfaction
load equipment
set up multimedia equipment
unload equipment
prospect new customers
handle rental overdues
deal with pressure from unexpected circumstances
manage performance light quality
ensure client orientation
repair equipment on site
electronics principles
electrical wiring plans
manage supplies
manage consumables stock
clean equipment
manage signoff of an installed system
perform minor repairs to equipment
interpret floor plans
digital communication and collaboration
business processes
propose ICT solutions to business problems
create business process models
write work-related reports
make strategic business decisions
implement strategic planning
apply change management
provide training on technological business developments
acoustics
set up sound equipment
consult with sound editor
adapt to type of media
study media sources
electricity
health and safety regulations
apply health and safety standards
supervise sound production
ICT accessibility standards
use experience map
test for emotional patterns
assess users' interaction with ICT applications
test for behavioural patterns
conduct research interview
execute ICT user research activities
test system accessibility for users with special needs
cognitive psychology
common aviation safety regulations
communicate in air traffic services
work in an aviation team
manage flight data communications programme
present reports
have computer literacy
tolerate stress
monitor communication channels' performance
perform multiple tasks at the same time
create website wireframe
web based collaborative platforms
identify suppliers
install electronic communication equipment
adjust ICT system capacity
maintain internet protocol configuration
install signal repeaters
network engineering
Apache Tomcat
concepts of telecommunications
solder electronics
hardware testing methods
mechatronics
computer technology
develop ICT workflow
statistical process control
quality and cycle time optimisation
CAD software
blueprints
read standard blueprints
ensure equipment availability
use CAD software
use measurement instruments
program a CNC controller
set up the controller of a machine
apply control process statistical methods
engineering principles
manufacturing processes
electrical engineering
mathematics
lathe machine parts
3D modelling
mechanics
advise on safety improvements
use computer-aided engineering systems
use CAM software
tend lathe
innovation processes
scientific research methodology
use methodologies for user-centered design
innovate in ICT
plan research process
monitor ICT research
provide multimedia content
photography
lighting techniques
cinematography
analyse the scenography
set up audiovisual peripheral equipment
select camera apertures
work with the director of photography
determine visual concepts
create moving images
work with an artistic team
ensure visual quality of the set
transfer uncut audiovisual material to computer
work with motion picture editing team
create special effects
use storyboards
collaborate on costume and make-up for performances
supervise camera crew
practise camera movements
work with the lighting crew
plan shots
utilise regular expressions
digital media
maintain electrical equipment
operate video equipment
operate broadcast equipment
operate audio equipment
maintain electronic equipment
receive appropriate permissions for use of recorded audiovisual examples
calibrate electronic instruments
operate remote broadcast equipment
coordinate activities in audio recording studio
quality standards
prepare financial auditing reports
perform contract compliance audits
develop audit plan
manage standard enterprise resource planning system
execute social engineering tests
analyse the context of an organisation
develop code exploits
proxy servers
set up cybersecurity training programmes
investment analysis
software frameworks
computer engineering
JavaScript Framework
IBM WebSphere
blockchain signature schemes
blockchain concept application
data security principles
design thinking
analyse blockchain use cases
define roadmap for blockchain in applications
develop blockchain technology
implement cryptographic constructs
analyse the artistic concept based on stage actions
develop an artistic framework
analyse music score
monitor sociological trends
use specialised design software
research new ideas
conduct costume research
verify feasibility
contextualise artistic work
meet deadlines
propose improvements to artistic production
present artistic design proposals
define artistic approach
develop design concept
develop design ideas cooperatively
develop drama production process
calculate design costs
analyse the need for technical resources
natural language processing
create semantic trees
manage digital documents
forecast future ICT network needs
organisational policies
apply system organisational policies
prepare licence agreements
provide ICT system training
acquire system component
provide technical training
software UI design patterns
graphics editor software
style sheet languages
design graphics
draw design sketches
Sass
Adobe Photoshop
Drupal
LESS
Adobe Illustrator
GIMP (graphics editor software)
WordPress
NoSQL
SketchBook Pro
Microsoft Visio
JSSS
Ajax Framework
Synfig
CSS
distributed computing
maintain database performance
support ICT system users
estimate duration of work
Oracle WebLogic
interactive media
manage online content
manage localisation
develop contingency plans for emergencies
business ICT systems
control of expenses
3D texturing
3D lighting
apply 3D imaging techniques
render 3D images
trigonometry
develop virtual game engine
attend to detail in preparation for audits
oversee quality control
usability engineering
database quality standards
develop information standards
manage alarm system
manage closed-circuit television system
cooperate with colleagues
install low voltage wiring
install image equipment
problem-solving with digital tools
use presentation software
digital content creation
authoring software
publishing strategy
content development processes
translate requirement concepts into content
conduct content quality assurance
apply tools for content development
utilise content types
compile content
manage content metadata
design digital call to action
proofread text
use word processing software
provide guidelines for content development
perform copywriting
manage budgets
advise on strengthening security
perform procurement processes
implement a management system
vocal techniques
operate the sound in the rehearsal studio
manage inventory
keep task records
assist customers
identify customer's needs
knowledge base
handle helpdesk problems
use e-services
answer incoming calls
perform escalation procedure
test ICT queries
SQL
Oracle Application Development Framework
use personal organization software
identify technological needs
manage contracts
maintain relationship with customers
industrial software
provide connected car solutions
develop food scanner devices
WebCMS
WildFly
compose description for web elements
information governance compliance
follow work procedures
adhere to organisational guidelines
liaise with managers
follow company standards
product life-cycle
inform on workplace safety standards
define organisational standards
communicate analytical insights
oversee development of software
documentation types
microwave principles
electromagnetism
direct inward dialing
analog electronics theory
use a complex communication system
upgrade firmware
operate electronic measuring instruments
install monitors for process control
use session border controller
telecommunication trunking
log transmitter readings
maintain telephony system
maintain responsive design
troubleshoot website
projection equipment
load film reels
check film reels
operate projector
store film reels
optics
mark film reels
glue film reels
maintain projection equipment
manage rented goods returns
maintain information network hardware
design ICT hardware placement
define ICT network design policies
write research proposals
synthesise research publications
mathematical physics
digitization
technical drawings
use technical drawing software
manage engineering project
measure customer feedback
online moderation techniques
broadcast equipment
media formats
monitor quality of broadcasts
select recording source
set up broadcast equipment
set up portable field transmission equipment
adjust video transmissions
maintain broadcast equipment
broadcast using Internet Protocol
signal cues to announcers
develop programming schedule
assemble video tape footage
align antennae with receiving dishes
Docker
Kubernetes
Terraform
infrastructure as code
CI/CD pipelines
continuous integration
continuous deployment
site reliability engineering
service level objectives
observability
distributed tracing
log management
Prometheus
Grafana
Linux administration
Windows Server administration
Active Directory
group policy management
container orchestration
Helm
security operations centre
SIEM
vulnerability management
application security
OWASP Top 10
SAST
DAST
threat modelling
zero trust security
incident response
hardware design
PCB design
FPGA programming
VHDL
Verilog
circuit design
embedded C
RTOS
robot operating system
kinematics
servo motor control
sensor integration
electronics troubleshooting
virtual reality development
Unity (game engine)
Unreal Engine
3D spatial computing
WebXR
OpenXR
ETL development
Tableau
Power BI
Looker
data visualisation tools
OLAP
dimensional modelling
dbt (data build tool)
smart contract security
Ethereum development
Hardhat
Foundry (smart contract framework)
transformer models
large language models
fine-tuning language models
natural language understanding
named entity recognition
speech recognition
PyTorch
TensorFlow
Hugging Face
product roadmap planning
OKR framework
go-to-market strategy
product discovery
user story mapping
competitive analysis
project charter development
stakeholder register management
earned value management
project closure reporting
change request management
portfolio management
programme governance
benefits realisation management
cross-functional team leadership
remote desktop support
IT service management (ITIL)
endpoint management
hardware diagnostics
patch management
frontend development
backend development
API design
GraphQL
containerisation
microservices architecture
positioning and messaging
product launch management
analyst relations
competitive intelligence
sales enablement
demand generation
backlog grooming
sprint planning
acceptance criteria definition
user story writing
impediment removal
sprint facilitation
retrospective facilitation
agile metrics and reporting
servant leadership
technical roadmap planning
engineering team coordination
cross-functional dependency management
meeting facilitation
action item tracking
resource scheduling
status reporting
de-escalation techniques
customer complaint resolution
live chat support
voice of the customer
printer and peripheral troubleshooting
pipeline management
solution selling
account planning
negotiation and closing techniques
quota attainment
organisational agility transformation
"agile scaling frameworks (SAFe, LeSS, Nexus)"
team maturity assessment
coaching and facilitation techniques
retail operations management
visual merchandising
loss prevention
inventory replenishment
staff scheduling
territory management
sales forecasting
channel partner management
account portfolio management
production planning and scheduling
capacity management
lean manufacturing
KPI reporting for operations
shift management
production line supervision
defect tracking
production reporting
technical SEO auditing
link building strategy
on-page optimisation
core web vitals optimisation
schema markup
keyword research and strategy
brand voice and tone guidelines
long-form content writing
ad copywriting
UX writing
email copywriting
content brief interpretation
cold outreach and prospecting
product demonstration
objection handling
sales pipeline management
outbound calling
"sales qualification frameworks (BANT, MEDDIC)"
CRM data management
email sequencing
calendar and travel management
executive communications support
board meeting preparation
confidential information handling
vendor and expense coordination
tier 1/2 technical triage
knowledge base article authoring
SLA management
remote troubleshooting
product bug reporting
SOC operations leadership
security programme strategy
threat intelligence programme management
experimental design
sampling methodology
Bayesian inference
multivariate analysis
G-code programming
CNC machine setup and operation
tool path optimisation
machining tolerances and GD&T
fixture design for machining
"PLC programming (Ladder, Structured Text)"
SCADA systems
HMI development
"industrial fieldbus protocols (Profibus, EtherCAT)"
motion control systems
instrumentation and process control
OAuth 2.0 and OpenID Connect
SAML federation
privileged access management
multi-factor authentication implementation
directory services administration
identity governance and administration
test framework development
API test automation
performance and load testing
test infrastructure management
shift-left testing strategy
hypothesis formulation
peer review
grant writing
research publication strategy
lab notebook documentation
IRB and ethical review processes
VAT compliance and reporting
indirect tax legislation
tax return preparation
cross-border tax regulations
"tax technology tools (e.g. Vertex, ONESOURCE)"
transfer pricing
financial analysis
intelligence collection and analysis
open-source intelligence (OSINT)
signals intelligence (SIGINT)
geospatial analysis
intelligence report writing
threat actor profiling
prompt engineering
retrieval-augmented generation (RAG)
LLM evaluation and benchmarking
AI agent frameworks
model deployment and serving
vector databases
responsible AI and bias mitigation
Oracle E-Business Suite
Oracle Fusion Cloud
Oracle PL/SQL
Oracle Forms and Reports
ERP implementation methodology
functional configuration in Oracle modules
"HRIS platforms (Workday, SAP SuccessFactors, Oracle HCM)"
payroll systems administration
workforce data reporting
HR data governance
headcount and compensation analytics
HR process automation
A/B testing and experimentation
production ML deployment
causal inference
research-to-product translation
solution design documentation
technical pre-sales
architecture decision records (ADRs)
total cost of ownership analysis
proof of concept development
financial modelling
financial reporting
variance analysis
budgeting and forecasting
P&L analysis
management accounting
enterprise performance management (EPM)
OneStream XF platform
Hyperion Financial Management
financial consolidation
"planning, budgeting and forecasting (PBF) platforms"
EPM data integration
Microsoft Dynamics 365
"Power Platform (Power Apps, Power Automate)"
Dataverse architecture
CRM data modelling
Dynamics 365 customisation and configuration
Azure DevOps for CRM deployments
"IT governance (COBIT, ITIL)"
IT strategy development
technology roadmap ownership
IT budget stewardship
digital transformation leadership
vendor and contract management
"CDISC standards (SDTM, ADaM)"
clinical trial data analysis
SAS macro programming
FDA regulatory submission programming
"TLF (tables, listings, figures) production"
clinical data management systems
technical recruitment
candidate sourcing and screening
applicant tracking systems (ATS)
hiring manager partnership
talent pipeline management
technical job requirement analysis
offer negotiation
modern data stack architecture
data lakehouse design
AI platform architecture
data mesh principles
MLOps architecture
real-time data streaming architecture
